ID,Date ID,Catalog Item ID,Geolocation Name,Catalog Item Title,Geolocation Type,Catalog Item Type
93355,7673,10456,SLOVENIA,Hyde #8 Stout Cask Finished Whiskey,Country,Bottle
93374,7673,13468,SLOVENIA,Inchgower 14 Year Old Flora and Fauna,Country,Bottle
93386,7673,11588,SLOVENIA,Inicio Tequila Blanco,Country,Bottle
93408,7673,13901,SLOVENIA,Jack Ryan Beggars Bush 12 Year Old Single Malt Irish Whiskey,Country,Bottle
93413,7673,15180,SLOVENIA,Jacopo Poli Luce della Vite Grappa,Country,Bottle
93420,7673,13549,SLOVENIA,James E. Pepper 1776 92 Proof Bourbon Whiskey,Country,Bottle
93425,7673,13168,SLOVENIA,James E. Pepper 1776 92 Proof Rye Whiskey,Country,Bottle
93435,7673,11590,SLOVENIA,Jameson Black Barrel,Country,Bottle
93443,7673,12373,SLOVENIA,Jameson Caskmates IPA Edition,Country,Bottle
93450,7673,12136,SLOVENIA,Jameson Caskmates Stout Edition (700ml),Country,Bottle
93459,7673,14968,SLOVENIA,Jameson Crested Triple Distilled,Country,Bottle
93466,7673,13076,SLOVENIA,Jameson Triple Triple Irish Whiskey (1L),Country,Bottle
93492,7673,11052,SLOVENIA,Jinzu Gin,Country,Bottle
93498,7673,18014,SLOVENIA,Joe Got A Gun Batch No.1 Tennessee Whiskey,Country,Bottle
93502,7673,18212,SLOVENIA,John B. Stetson Straight Bourbon Whisky,Country,Bottle
93507,7673,15224,SLOVENIA,John E. Fitzgerald Larceny Small Batch Bourbon,Country,Bottle
93516,7673,14665,SLOVENIA,Johnnie Walker A Song of Ice,Country,Bottle
93522,7673,3770,SLOVENIA,Johnnie Walker Black Label 12 Year Old,Country,Bottle
93529,7673,13738,SLOVENIA,Johnnie Walker Blue Label,Country,Bottle
93550,7673,10295,SLOVENIA,Johnnie Walker The White Walker Edition,Country,Bottle
93566,7673,12520,SLOVENIA,"Journeyman Corsets, Whips & Whiskey (500ml)",Country,Bottle
93577,7673,15485,SLOVENIA,Jura Seven Wood,Country,Bottle
93582,7673,10452,SLOVENIA,Kabumm Vodka by Sido,Country,Bottle
93587,7673,15316,SLOVENIA,KAH Tequila Añejo,Country,Bottle
93594,7673,13381,SLOVENIA,KAH Tequila Blanco,Country,Bottle
93601,7673,10867,SLOVENIA,KAH Tequila Reposado,Country,Bottle
93607,7673,14791,SLOVENIA,Kaiyo Japanese Mizunara Oak,Country,Bottle
93612,7673,14505,SLOVENIA,Kaiyo Mizunara Aged Cask Strength Japanese Malt Whisky,Country,Bottle
93616,7673,13647,SLOVENIA,Kaiyo Peated Japanese Mizunara Oak Whisky,Country,Bottle
93621,7673,15377,SLOVENIA,Kalak Peat Cask Irish Single Malt Vodka,Country,Bottle
93627,7673,15621,SLOVENIA,Kauffman Soft Vodka,Country,Bottle
93634,7673,12967,SLOVENIA,Kavalan Classic Single Malt Whisky,Country,Bottle
93640,7673,11768,SLOVENIA,Kavalan Concertmaster Port Cask Finish Single Malt Whisky,Country,Bottle
93658,7673,12259,SLOVENIA,Kilbeggan Single Grain Irish Whiskey,Country,Bottle
93663,7673,13499,SLOVENIA,Kilbeggan Single Pot Still Irish Whiskey,Country,Bottle
93670,7673,15734,SLOVENIA,Kilchoman Machir Bay,Country,Bottle
93676,7673,15288,SLOVENIA,Kilchoman Sanaig,Country,Bottle
93685,7673,15310,SLOVENIA,King of Soho Gin,Country,Bottle
93695,7673,13359,SLOVENIA,Kinobi Kyoto Craft Gin,Country,Bottle
93715,7673,3412,SLOVENIA,KISS Black Diamond Premium Dark Rum,Country,Bottle
93720,7673,14804,SLOVENIA,Knappogue Castle 12 Year Old Irish Whiskey,Country,Bottle
93736,7673,13949,SLOVENIA,Knob Creek Patiently Aged Kentucky Straight Bourbon,Country,Bottle
93743,7673,15768,SLOVENIA,Knockando 12 Year Old,Country,Bottle
93759,7673,11120,SLOVENIA,Koval Single Barrel Millet Whiskey,Country,Bottle
93770,7673,12564,SLOVENIA,Kura Pure Malt Whisky Rum Cask Finish,Country,Bottle
93775,7673,11402,SLOVENIA,Kurayoshi 12 Year Old Pure Malt Whisky,Country,Bottle
93792,7673,10153,SLOVENIA,La Clandestine Absinthe,Country,Bottle
93813,7673,18333,SLOVENIA,Laphroaig Four Oak (1L),Country,Bottle
93818,7673,14860,SLOVENIA,Laphroaig PX Cask,Country,Bottle
93835,7673,15188,SLOVENIA,Larga Vida XO Rum 2019 Edition,Country,Bottle
93853,7673,15190,SLOVENIA,Ledaig 10 Year Old,Country,Bottle
93860,7673,12187,SLOVENIA,Legent Bourbon,Country,Bottle
93874,7673,13678,SLOVENIA,Le Pertuis Pure Malt Whisky,Country,Bottle
93879,7673,11049,SLOVENIA,Le Tribute Gin,Country,Bottle
93890,7673,14529,SLOVENIA,Lind & Lime Gin,Country,Bottle
93917,7673,13182,SLOVENIA,Louis Royer XO Cognac,Country,Bottle
93934,7673,18015,SLOVENIA,Mackmyra Björksav Swedish Single Malt Whisky,Country,Bottle
93940,7673,14033,SLOVENIA,Madre Mezcal Ensamble,Country,Bottle
93946,7673,15106,SLOVENIA,Madre Mezcal Ensamble (200ml),Country,Bottle
93961,7673,15567,SLOVENIA,Maker's Mark Kentucky Straight Bourbon,Country,Bottle
93971,7673,15281,SLOVENIA,Malfy Gin con Arancia,Country,Bottle
93978,7673,14829,SLOVENIA,Malfy Gin Con Limone,Country,Bottle
93993,7673,12515,SLOVENIA,Mars Maltage Cosmo,Country,Bottle
94004,7673,14247,SLOVENIA,Martell Cordon Bleu Cognac,Country,Bottle
94010,7673,13145,SLOVENIA,Martell VSOP Red Barrel,Country,Bottle
94027,7673,17946,SLOVENIA,Matsui Gin The Hakuto,Country,Bottle
94033,7673,3954,SLOVENIA,Matusalem 10 Year Old Clásico Rum,Country,Bottle
94040,7673,11977,SLOVENIA,Matusalem Gran Reserva 15 Rum,Country,Bottle
94046,7673,15699,SLOVENIA,Matusalem Gran Reserva 23 Rum,Country,Bottle
94065,7673,12522,SLOVENIA,Menard VSOP Cognac,Country,Bottle
94071,7673,14510,SLOVENIA,Merlet VS Cognac,Country,Bottle
94080,7673,10288,SLOVENIA,Meukow VS Cognac,Country,Bottle
94087,7673,15703,SLOVENIA,Mezcal Vago Elote,Country,Bottle
94098,7673,13545,SLOVENIA,Michter's US*1 Small Batch Bourbon Whiskey,Country,Bottle
94126,7673,15345,SLOVENIA,Milk & Honey Roots,Country,Bottle
94137,7673,15373,SLOVENIA,MOKO Panama Rum 15 Year Old,Country,Bottle
